0 0 0 0 -0.0294033
0.05 0 0 0 -0.0294033
0.1 0 0 0 -0.0315517
0.15 0 0 0 -0.0343608
0.2 0 0 0 -0.0371706
0.25 0 0 0 -0.0401219
0.3 0 0 0 -0.0244818
0.35 0 0 0 -0.0252896
0.4 0 0 0 -0.0303614
0.45 0 0 0 -0.0295987
0.5 0 0 0 -0.0294336
0.55 0 0 0 -0.0280943
0.6 0 0 0 -0.0264674
0.65 0 0 0 -0.024383
0.7 0 0 0 -0.0220035
0.75 0 0 0 -0.0193409
0.8 0 0 0 -0.0164538
0.85 0 0 0 -0.0133785
0.9 0 0 0 -0.0101594
0.95 0 0 0 -0.00683824
1 0 0 0 -0.00345911
1.05 0 0 0 -6.63936e-05
1.1 0 0 0 0.00329452
1.15 0 0 0 0.00657776
1.2 0 0 0 0.00973721
1.25 0 0 0 0.012727
1.3 0 0 0 0.0155023
1.35 0 0 0 0.0180198
1.4 0 0 0 0.020239
1.45 0 0 0 0.0221232
1.5 0 0 0 0.0236422
1.55 0 0 0 0.0247711
1.6 0 0 0 0.0255025
1.65 0 0 0 0.0258196
1.7 0 0 0 0.0257936
1.75 0 0 0 0.0253189
1.8 0 0 0 0.0247141
1.85 0 0 0 0.0238349
1.9 0 0 0 0.0230566
1.95 0 0 0 0.0222397
2 0 0 0 0.0222397
0 0.05 0 0 -0.0287631
0.05 0.05 0 0 -0.0287631
0.1 0.05 0 0 -0.0298636
0.15 0.05 0 0 -0.0307709
0.2 0.05 0 0 -0.0317192
0.25 0.05 0 0 -0.0319323
0.3 0.05 0 0 -0.0316399
0.35 0.05 -0.00208767 0.000999033 -0.0252896
0.4 0.05 -0.00287263 0.000955485 -0.0303614
0.45 0.05 -0.00402893 0.0008666 -0.0295987
0.5 0.05 -0.00495875 0.000754367 -0.0294336
0.55 0.05 -0.00586079 0.000667332 -0.0280943
0.6 0.05 -0.00666657 0.000592402 -0.0264674
0.65 0.05 -0.00740019 0.000524081 -0.024383
0.7 0.05 -0.00804898 0.000456955 -0.0220035
0.75 0.05 -0.00861209 0.000388587 -0.0193409
0.8 0.05 -0.00908357 0.00031793 -0.0164538
0.85 0.05 -0.00945966 0.0002448 -0.0133785
0.9 0.05 -0.0097365 0.000169444 -0.0101594
0.95 0.05 -0.00991126 9.23253e-05 -0.00683824
1 0.05 -0.00998184 1.40297e-05 -0.00345911
1.05 0.05 -0.00994713 -6.47632e-05 -6.63936e-05
1.1 0.05 -0.00980703 -0.000143277 0.00329452
1.15 0.05 -0.00956257 -0.000220621 0.00657776
1.2 0.05 -0.00921612 -0.000295759 0.00973721
1.25 0.05 -0.00877153 -0.000367482 0.012727
1.3 0.05 -0.00823442 -0.000434381 0.0155023
1.35 0.05 -0.00761245 -0.000494815 0.0180198
1.4 0.05 -0.00691557 -0.000546899 0.020239
1.45 0.05 -0.0061564 -0.000588486 0.0221232
1.5 0.05 -0.00535039 -0.000617179 0.0236422
1.55 0.05 -0.00451647 -0.000630386 0.0247711
1.6 0.05 -0.00367615 -0.000625264 0.0255025
1.65 0.05 -0.00285655 -0.000599494 0.0258196
1.7 0.05 -0.00208101 -0.000549059 0.0257936
1.75 0.05 -0.00138977 -0.000479534 0.0253189
1.8 0.05 -0.000811049 -0.000371953 0.0247141
1.85 0.05 -0.000374295 -0.000246265 0.0238349
1.9 0.05 -9.56963e-05 -0.000114121 0.0230566
1.95 0.05 -8.02085e-07 -2.08087e-06 0.0222397
2 0.05 0 0 0.0222397
0 0.1 0 0 -0.0287631
0.05 0.1 -2.77698e-05 3.26857e-05 -0.0287631
0.1 0.1 -0.000200198 0.000210166 -0.0298636
0.15 0.1 -0.000642901 0.000429046 -0.0307709
0.2 0.1 -0.0013416 0.000683552 -0.0317192
0.25 0.1 -0.00230472 0.00100305 -0.0319323
0.3 0.1 -0.00361192 0.00147125 -0.0316399
0.35 0.1 -0.00515666 0.00229673 -0.0282682
0.4 0.1 -0.00645669 0.00221554 -0.0293414
0.45 0.1 -0.00806388 0.00211948 -0.0281711
0.5 0.1 -0.00958971 0.00195288 -0.0275859
0.55 0.1 -0.0111065 0.00179351 -0.0262431
